zone	replicate	stage	configuration	job_id	dependency	output
factor_b1_v2_300m	5	simulation	every10	2205439	afterok:2205432	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/every10_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	5	simulation	every20	2205440	afterok:2205432	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/every20_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	5	simulation	every40	2205441	afterok:2205432	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/every40_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	5	simulation	every80	2205442	afterok:2205432	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/every80_paper_final_full1800_eval50_tail10x25
factor_b1_v3_300m	2	mobility	-	2205443	afterok:2205338	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v3_300m/rep2/mobility/factor_b1_v3_300m_rep2_all_vehicles_1s_full1800.json
factor_b1_v3_300m	2	raytrace	-	2205444	afterok:2205443	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v3_300m/rep2/rssi/shards
factor_b1_v3_300m	2	merge	-	2205445	afterok:2205444	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v3_300m/rep2/rssi/factor_b1_v3_300m_rep2_vehicles_1s_opaque_no_vehicle_blockers_ge-100dbm_r20k_d3_llvm.npz
factor_b1_v3_300m	2	simulation	iso	2205446	afterok:2205445	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep2/iso_paper_final_full1800_eval50_tail10x25
factor_b1_v3_300m	2	simulation	central	2205447	afterok:2205445	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep2/central_paper_final_full1800_eval50_tail10x25
factor_b1_v3_300m	2	simulation	full	2205448	afterok:2205445	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep2/full_paper_final_full1800_eval50_tail10x25
